date,race,num_precincts,precincts_reporting,times_counted,total_votes
2019-04-02,PRES OF BOA,222,222,20121/196163,19362
2019-04-02,WD 2 ALDERMAN,8,8,558/5849,510
2019-04-02,WD 4 ALDERMAN,10,10,517/6541,475
2019-04-02,WD 6 ALDERMAN,9,9,1218/8223,1185
2019-04-02,WD 8 ALDERMAN,9,9,1239/8308,1160
2019-04-02,WD 10 ALDERMAN,9,9,812/7372,743
2019-04-02,WD 12 ALDERMAN,8,8,961/8036,887
2019-04-02,WD 14 ALDERMAN,9,9,627/6360,560
2019-04-02,WD 16 ALDERMAN,8,8,1205/8623,1077
2019-04-02,WD 18 ALDERMAN,6,6,587/5934,545
2019-04-02,WD 20 ALDERMAN,7,7,382/5429,358
2019-04-02,WD 22 ALDERMAN,8,8,508/6125,458
2019-04-02,WD 24 ALDERMAN,8,8,1064/7760,1033
2019-04-02,WD 26 ALDERMAN,6,6,751/7085,711
2019-04-02,WD 28 ALDERMAN,10,10,1141/7935,1038
2019-04-02,JR COLLEGE 3,58,58,6187/56352,5132
2019-04-02,PROP S,222,222,20121/196163,19696
